,Country,Year,Continent,life_expect,Population,CO2_emiss,health_spend,internet_usage,open_defecation,drinking_water_services,adult_obesity,beer_consumption,Population category
0,Albania,2000,Europe,73.955,3089027,1.026213109,7.2333703,0.114097347,0.888852778,86.75447063,12.8,1.33431,High Population
1,Albania,2001,Europe,74.288,3060173,1.055495882,7.13952398,0.325798377,0.836397052,86.90407032,13.3,1.48995,High Population
2,Albania,2002,Europe,74.579,3051010,1.232378783,6.90934134,0.390081273,0.781898762,87.45163517,13.9,1.28697,High Population
3,Albania,2003,Europe,74.828,3039616,1.338984981,7.06348991,0.971900415,0.728191005,87.98719397,14.4,1.4483,High Population
4,Albania,2004,Europe,75.039,3026939,1.404058688,6.77337217,2.420387798,0.675280758,88.51058296,15.0,1.37617,High Population
5,Albania,2005,Europe,75.228,3011487,1.338209399,6.33554173,6.043890864,0.623198199,89.02118831,15.6,1.6518,High Population
6,Albania,2006,Europe,75.423,2992547,1.339995739,6.00927734,9.609991316,0.571934833,89.51913233,16.2,1.7933,High Population
7,Albania,2007,Europe,75.646,2970017,1.39393137,6.31683397,15.03611541,0.521500352,90.00418728,16.9,1.94369,High Population
8,Albania,2008,Europe,75.912,2947314,1.384311249,5.1390624,23.86,0.471902868,90.47615076,17.5,2.12835,High Population
9,Albania,2009,Europe,76.221,2927519,1.441493562,4.6022253,41.2,0.423170008,90.93441293,18.1,2.20543,High Population
10,Albania,2010,Europe,76.562,2913021,1.527623663,4.7457962,45.0,0.375274153,91.37947821,18.7,1.71,High Population
11,Albania,2011,Europe,76.914,2905195,1.66942319,4.79534149,47.0,0.32823482,91.81088697,19.3,1.88,High Population
12,Albania,2012,Europe,77.252,2900401,1.50324046,5.05526543,49.4,0.282042419,92.22877874,19.9,1.34,High Population
13,Albania,2013,Europe,77.554,2895092,1.533630039,5.38561106,51.8,0.236762285,92.63159485,20.5,1.34,High Population
14,Albania,2014,Europe,77.813,2889104,1.668337371,5.50347328,54.3,0.139691059,93.02005646,21.1,1.29,High Population
15,Albania,2015,Europe,78.025,2880703,1.60377515,4.89631176,56.9,0.109372147,93.39432534,21.7,1.48,High Population
16,Algeria,2000,Africa,70.64,31042238,2.578744484,3.48903275,0.491705679,6.233949004,89.84882827,15.0,0.11978,High Population
17,Algeria,2001,Africa,71.116,31451513,2.50067461,3.83787704,0.646114017,5.816862792,90.11344378,15.5,0.10026,High Population
18,Algeria,2002,Africa,71.605,31855110,2.586712195,3.7300415,1.59164126,5.411176259,90.37379792,16.1,0.17177,High Population
19,Algeria,2003,Africa,72.101,32264159,2.733373662,3.60104108,2.195359731,5.017041887,90.62972314,16.7,0.19139,High Population
20,Algeria,2004,Africa,72.594,32692153,2.737354064,3.5440731,4.634475088,4.634333998,90.88125597,17.3,0.23826,High Population
21,Algeria,2005,Africa,73.072,33149720,2.841351373,3.2351613,5.843942092,4.263133992,91.12824941,17.9,0.29652,High Population
22,Algeria,2006,Africa,73.521,33641007,2.966914681,3.35510182,7.375984956,3.903086061,91.37095552,18.6,0.17637,High Population
23,Algeria,2007,Africa,73.936,34166976,3.007289846,3.8214159,9.451190626,3.554243607,91.60922889,19.2,0.16596,High Population
24,Algeria,2008,Africa,74.311,34730604,3.102451083,4.20188379,10.18,3.216277793,91.84330409,19.9,0.20481,High Population
25,Algeria,2009,Africa,74.644,35333882,3.174573294,5.3593955,11.23,2.890114176,92.07203717,20.7,0.19895,High Population
26,Algeria,2010,Africa,74.938,35977451,3.173654529,5.11717176,12.5,2.574999351,92.29597417,21.4,0.18,High Population
27,Algeria,2011,Africa,75.199,36661438,3.294742583,5.26748085,14.9,2.270808327,92.51499419,22.2,0.21,High Population
28,Algeria,2012,Africa,75.436,37383899,3.609307651,6.00050974,18.2,1.977114639,92.74518845,23.1,0.23,High Population
29,Algeria,2013,Africa,75.661,38140135,3.644979345,6.03576279,22.5,1.693614807,92.97088353,23.9,0.26,High Population
30,Algeria,2014,Africa,75.878,38923688,3.795632251,6.54721403,29.5,1.419856885,93.19235149,24.8,0.28,High Population
31,Algeria,2015,Africa,76.09,39728020,3.933495912,6.9784894,38.2,1.155577807,93.40956153,25.7,0.31,High Population
32,Angola,2000,Africa,46.522,16395477,0.988077383,1.90859938,0.105045562,42.86651576,41.14430792,3.0,0.90147,High Population
33,Angola,2001,Africa,47.059,16945753,0.941828905,4.48351622,0.136013867,41.41483035,42.25467641,3.1,1.186,High Population
34,Angola,2002,Africa,47.702,17519418,0.895577672,3.32946134,0.270376746,39.9543904,43.37679859,3.3,1.31104,High Population
35,Angola,2003,Africa,48.44,18121477,0.924869437,3.54797316,0.370682065,38.48664423,44.3638732,3.5,1.32056,High Population
36,Angola,2004,Africa,49.263,18758138,0.930262948,3.96720099,0.464814618,37.01114547,45.35133457,3.7,1.44496,High Population
37,Angola,2005,Africa,50.165,19433604,0.813539291,2.85219693,1.143366827,35.53136957,46.33601912,3.9,2.39736,High Population
38,Angola,2006,Africa,51.143,20149905,0.821840076,2.68553662,1.5,34.24672633,47.15022864,4.1,2.7311,High Population
39,Angola,2007,Africa,52.177,20905360,0.811753508,2.97438812,1.7,32.95844872,47.96147053,4.3,2.90574,High Population
40,Angola,2008,Africa,53.243,21695636,0.888658009,3.32290483,1.9,31.66557533,48.77040378,4.6,3.26552,High Population
41,Angola,2009,Africa,54.311,22514275,0.939403983,3.84260869,2.3,30.37016137,49.57516542,4.8,3.95114,High Population
42,Angola,2010,Africa,55.35,23356247,0.976184198,2.69510007,2.8,29.0707389,50.37684093,5.1,4.23,High Population
